Internal Name,Display Name,File Type,Difficulty,Avg Tokens,Num Puzzles
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,R1 Distill 32B,traceback,2,101020.49152542373,118
google_gemma-3-27b-it,Gemma 3 27B,sparc,3,807.3553719008264,121
google_gemma-3-27b-it,Gemma 3 27B,sparc,5,820.1797752808989,89
google_gemma-3-27b-it,Gemma 3 27B,sparc,1,751.2209302325581,86
google_gemma-3-27b-it,Gemma 3 27B,sparc,4,802.6744186046511,86
google_gemma-3-27b-it,Gemma 3 27B,sparc,2,757.5677966101695,118
google_gemma-3-27b-it,Gemma 3 27B,gym,3,2952.619834710744,121
google_gemma-3-27b-it,Gemma 3 27B,gym,5,3932.258426966292,89
google_gemma-3-27b-it,Gemma 3 27B,gym,1,2335.139534883721,86
google_gemma-3-27b-it,Gemma 3 27B,gym,4,3790.139534883721,86
google_gemma-3-27b-it,Gemma 3 27B,gym,2,2833.9322033898306,118
google_gemma-3-27b-it,Gemma 3 27B,traceback,3,16901.76859504132,121
google_gemma-3-27b-it,Gemma 3 27B,traceback,5,17306.415730337078,89
google_gemma-3-27b-it,Gemma 3 27B,traceback,1,14627.639534883721,86
google_gemma-3-27b-it,Gemma 3 27B,traceback,4,18367.31395348837,86
google_gemma-3-27b-it,Gemma 3 27B,traceback,2,14920.559322033898,118
mistralai_Magistral-Small-2507,Magistral Small,sparc,3,2607.884297520661,121
mistralai_Magistral-Small-2507,Magistral Small,sparc,5,3522.438202247191,89
mistralai_Magistral-Small-2507,Magistral Small,sparc,1,2617.9186046511627,86
mistralai_Magistral-Small-2507,Magistral Small,sparc,4,3740.406976744186,86
mistralai_Magistral-Small-2507,Magistral Small,sparc,2,3725.2033898305085,118
mistralai_Magistral-Small-2507,Magistral Small,gym,3,7347.2231404958675,121
mistralai_Magistral-Small-2507,Magistral Small,gym,5,11824.505617977527,89
mistralai_Magistral-Small-2507,Magistral Small,gym,1,4292.558139534884,86
mistralai_Magistral-Small-2507,Magistral Small,gym,4,9274.988372093023,86
mistralai_Magistral-Small-2507,Magistral Small,gym,2,7352.525423728814,118
mistralai_Magistral-Small-2507,Magistral Small,traceback,3,31732.71186440678,118
mistralai_Magistral-Small-2507,Magistral Small,traceback,5,41178.168539325845,89
mistralai_Magistral-Small-2507,Magistral Small,traceback,1,21265.941176470587,85
mistralai_Magistral-Small-2507,Magistral Small,traceback,4,36698.623529411765,85
mistralai_Magistral-Small-2507,Magistral Small,traceback,2,27256.830508474577,118
nvidia_Llama-3_3-Nemotron-Super-49B-v1_5,Nemotron 49B,sparc,3,17213.92561983471,121
nvidia_Llama-3_3-Nemotron-Super-49B-v1_5,Nemotron 49B,sparc,5,16261.269662921348,89
nvidia_Llama-3_3-Nemotron-Super-49B-v1_5,Nemotron 49B,sparc,1,16913.941860465115,86
nvidia_Llama-3_3-Nemotron-Super-49B-v1_5,Nemotron 49B,sparc,4,17152.825581395347,86
nvidia_Llama-3_3-Nemotron-Super-49B-v1_5,Nemotron 49B,sparc,2,18316.525423728814,118
nvidia_Llama-3_3-Nemotron-Super-49B-v1_5,Nemotron 49B,gym,3,83822.21487603306,121
nvidia_Llama-3_3-Nemotron-Super-49B-v1_5,Nemotron 49B,gym,5,120038.46067415731,89
nvidia_Llama-3_3-Nemotron-Super-49B-v1_5,Nemotron 49B,gym,1,87651.75581395348,86
nvidia_Llama-3_3-Nemotron-Super-49B-v1_5,Nemotron 49B,gym,4,117225.81395348837,86
nvidia_Llama-3_3-Nemotron-Super-49B-v1_5,Nemotron 49B,gym,2,96624.47457627118,118
nvidia_Llama-3_3-Nemotron-Super-49B-v1_5,Nemotron 49B,traceback,3,216962.61983471076,121
nvidia_Llama-3_3-Nemotron-Super-49B-v1_5,Nemotron 49B,traceback,5,249079.8764044944,89
nvidia_Llama-3_3-Nemotron-Super-49B-v1_5,Nemotron 49B,traceback,1,211115.41860465117,86
nvidia_Llama-3_3-Nemotron-Super-49B-v1_5,Nemotron 49B,traceback,4,216008.18604651163,86
nvidia_Llama-3_3-Nemotron-Super-49B-v1_5,Nemotron 49B,traceback,2,207476.04237288135,118
openai_gpt-oss-120b,GPT-OSS 120B,sparc,3,10807.322314049587,121
openai_gpt-oss-120b,GPT-OSS 120B,sparc,5,13563.483146067416,89
openai_gpt-oss-120b,GPT-OSS 120B,sparc,1,6314.139534883721,86
openai_gpt-oss-120b,GPT-OSS 120B,sparc,4,13059.53488372093,86
openai_gpt-oss-120b,GPT-OSS 120B,sparc,2,10911.872881355932,118
